part-time-job full-time-job hourly-wage salary associate-needed bs-degree-needed ms-or-phd-needed licence-needed 1-year-experience-needed 2-4-years-experience-needed 5-plus-years-experience-needed supervising-job
False False False False False False False False False False True False
False False False False False False False False False False False False
False False False False False False False False False False False False
False True False True False True False False False False True False
False True False False False False True False False False False False
False False False False False False False False False False False True
False False False False False False False False False False False False
False False False False False False False False False True False False
False False False False False False False True False False False False
False False False False True False False False False False False False
False False False False False False False False False False False False
False False False False False True False False False True False False
False False True False False False False False False False False True
False False False False False False False False False False False False
False True False True False True False False False False True True
False False False False False True False False False True False False
False False False False False True False False False False True False
False False False False True False False False False True False False
False False False False False False False False False True False False
False False False True False False False False False True False True
False False False False False False False True False False True False
False False False False False False False False False False False False
False False False False False False False True True False False False
False False False True False False False False False False True False
False False False False False False False False True False False False
False False False False False False False False False False True True
False False False False False False False False False False False False
False False True False False False False False False False False False
False True True False False False False False False False False False
False False False False False False False False False True False False
False False False False False False False False False False False False
False False False False False True False False False False True True
False False False False False False False False False False False False
True False False False False False False False False False False False
False True False False False False False False False False False False
False False True False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False True False False False False False True False False False True
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False True False False False False False False
True False True False False False False False False False False False
False False False True False True False False False False False False
False False False False False False False False False False False True
False False False False False False False False False False False False
False True False False False False False False False False False False
True False False False False False False True False False False False
False False False False True False False False False True False False
False False False False False False False False False False False False
False False False False False False False False False False True False
True False True False False False False False False False False False
False False False False False False False False False False False True
True False False False False False False True False False False False
True False False False False False False False False False False False
False False False False False False True False False True False False
False False False False False False False False False True False True
False True False False False True False False False False True False
False False False False False False False True False False False False
False True False True False False False False False False True False
False False False False False False False True False False False False
True False True False False False False False False False False False
False False False False False False True False False False False False
False False False False False False False False False True False True
False False True False False False False False False False False False
False True False False False False False True False True False True
False False False False False False False False False False False False
True False False False False False False False False False False False
False True False False False False False False False False False False
False False False False False False False False False False False True
False True False True False False False False False False False True
False False False False False True False False False True False False
False False False False False False False False False False False False
False False False True False False False False False False False False
True False False False False False False True True False False False
False False False False False False False False False False False False
False False False False False False False False False False True False
False False False False False True False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False True False False False False False True False False False False
True False False False False False False False False True False False
False True False False False False False False False True False False
False False False False False True False False False True False False
False False False False False False False False False False False False
False True False False False True False False False False True True
False True False False False False False True False False False False
False True False False False False False False False False False False
False False False True False False False False False False False False
False False False False False True False False False True False False
False False False False False False False False True False False False
False False False False False False False False False False False False
False True False False False False False False False False False False
False False False False False False False True True False False False
False False False True False False False False False False False False
False True False False False False False False False False False False
False True False True True False False False False True False True
False False False False False False False False False False False True
True False False False False False False False True False False False
True False True False False False False False False False False False
False True False False False False True False False True False True
False False False True False True False False False False False False
False False True False False False False False False False False True
False False False False False False False False False False False False
False False False False False False False False False False False False
False True False False False False False False False False False False
False False False False False False False False False False False True
False False False False False False False False False False False False
False False False True False False False False False False False False
False True True False False False False False False False False False
False True False False False True False False False True False False
False False False False False False False False False False False False
False True True False False False False False False False False False
False False True False False False False False False False False False
False False False False False False False False False False False False
False False False False False True False False False False True False
False True False False False True False False False False False False
False False False True False False False True False True False False
False False True False False False False False False False False False
False False False False True False False False False False False False
False False False False False False False False False True False False
True False True False True False False False True False False False
False True False False False False False True False False False True
True False False False False False False True True False False False
True False True False False False False False False False False False
False True False True False False False True False False False True
False False False False False True False False False False False False
False False False False False False False False True False False False
False False False False False False False True False False False True
False False False True False False False False False False False False
False False False False False False False False False False False False
False False False True False False False False False True False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False True False False False False False True False False False False
False False False False False False False False False False False True
False False False False False False False False False False False False
False False False False False False False False False False False True
False False False False False True False False False True False True
False True False False False False False False False False True False
False False False False False False False False False False False False
False True False True False True False False False False True False
False False False False False False False False False False False False
False False False False False False False False False True False True
False True False False False False False False False False False False
False False False False False False False False False False False False
False False False False False True False False False True False True
False False False False False False True False False False False True
True False True False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False True False False False False False False False False True False
False False False False False False False False False False False False
False False False False False False False False False True False True
False False False False False True False False False False True False
False False False False False False False False False False False False
False False False False False False False True False False False False
False False False True False False False True False False False False
False False False False False True False False False False True True
False False False False False False False False False False False False
False True False False False False False False False False False False
False False False False False False False True False False True True
False True False False False True False False True False False False
False False False False False False False False False False True False
False False False False False True False False False False True False
False True False False True False False False False False True True
False False False False False False False False False False False False
False False False False False False False False False False False False
True False False False False False False False False False False False
True False False False False False False False False False False False
False True False False False False False False False False True False
False False False True True False False False False True False False
False False False True False True False False False True False False
False False False False False True False False False True False False
False False False False False False False False False False False False
False True False False False False False True False False True True
False False False False False True False False True False False False
False False False False False True False False False True False False
False False False False False True False False False False True True
False False False False False True False False False True False False
False False False False False True False False False False True False
False False False False False False False True True False False False
False False False False False False False False False False False False
True False False False False False False False False False False False
False True True False False False False False False False False False
False True True False False False False False False False False False
False False False False False False False False False True False False
False False False False False False False False False False False False
True False False False False False False False False False False False
False False False False False False False False False True False False
False True False False False False False False False True False True
False False False False False False False False False False False False
False True True False False False False False False False True False
False False False False False False False False False False False False
False False False False True False False False False True False False
False False False False False False False False False True False False
False False False True False False False False False True False False
False True True False False False False True False True False False
False True False True False True False False False False True True
False False False False False True False False False False True False
False False False False False False True False False False False False
False False False False False True False False True False False False
False True False False False True False False False False False False
False False False False False False False False False False False False
False False True False False False False False False False False False
False False False True False False False False False True False False
False False False False False True False False False True False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False True False False False True False False
False True False False False False False False False True False False
False False False False False False False False False False True True
False False False False False False False False False False True True
False True False True False False False False False False False False
False False False False False False False False False True False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False True False False False False
False True True False False False False False False False False False
False True False False False False False False False False False False
False False False False False False False True False False False True
False False True False False False False False False False False False
False False False False False False False False False False False False
True False False False False False False True False False False False
False False False False True False False False False True False True
False True False False False False False False False True False False
False False False False False True False False False False True False
False False False False True False False False False True False False
False False False False False True False False False True False True
False False False False False True False False False True False False
False True True False False False False False False False True False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False True False
False False False False False False False False False False True True
False True False False False False False False False False False False
False True False True True False False False False True False False
False False True False False False False False False False False False
False True True False False False False False False False False False
False False False False False False False False False False True False
False False True False False False False False False False False False
False False False False False True False False False True False False
False False False False False False False False False True False False
False False False False False True False False False False True False
False False False False False False False False False True False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False True False False False
False False False False False False False False False False False False
False False False True False True False False False True False False
False False False False False False False False False False True False
False True True False False False False False False False False False
False False False False False True False False False True False False
True False True False False False False False False False False False
False False False False False False False False False True False False
True False True False False False False False False False False False
False True True False False False False False False False False False
True False False False False False False False False False False False
False False False False False False False False False False False False
False False False False True False False False False True False False
False False False False False True False False False False True True
False False False False False False False False False False False False
False True False False False False False False False False False False
False False True False False False False True True False False False
False False False False False False False False False False False False
False True False False False False False False False True False True
False False False False False False False False False False False False
False True False False False False False False False False True False
False True False False False True False False False True False False
False True False False True False False False False True False True
True False False False False False False False False False False False
False False False False False False False False False False False False
False False True False False False False False False False False False
False False False False False False False True False False False False
True False False False False True False False False False False False
False False False False False False False True True False False False
False False False False False False False False False False True False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False True False False False False False False False
True False False False False False False False False False False False
True False False False False False False True False False False False
False False False False False False False True False False False False
False False False False False False False True False False False False
False False False True False False False False False False False False
False True True False False False False False False False False False
False False False False False False False False False False False False
False True False True False True False False False False False True
False False False True False False False False True False False False
False False False False False False False False True False False False
False False False True False False False False True False False False
False False False False True False False False True False False False
False False True False False False False False False False False False
False False False False False False False True False True False False
False False False False False False False False False False False False
False False False False False True False False False False True True
False False True False False True False False False False False True
False True False True False False False False False True False True
True False False False False False False False False False False False
False False False False True False False False False False True False
False False False False False True False False False True False False
False False False False False True False False False True False True
False True False False False False False False False False False False
False True False False False False False True False False True False
False False False False False False False False False False True False
True False False False False False False False False False False False
False False False False False False False True False False False True
False False False False False True False False False True False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False True
False False False False False True False False False True False False
False False False False False True False False False False True True
False False False False False False False False False True False True
True False True False False False False False False False False False
False False False True False False False True False False False False
False True True False False False False False False False False False
False False False False False False False False False True False False
False False False True False False False False False False False True
False False False False False False False False False False False False
False False False False False False False False True False False False
False False False False False True False False False False False False
False False False False False True False False True False False False
True False False False False False False False False False False False
False False False False False False False True False False False False
False False False False True False False False False False True False
False False False True False True False False False False False False
False False False False False False False True True False False False
False False False False False False False False False False False False
False True False False False False False True False False False False
False True False False False False False True True False False False
False False True False False False False True False False False False
False True False False False False False False False False True False
False True False False False True False False False True False False
False False False False False False False False False False False False
False False False False False False False False False False False False
True False False False False False False False False False False False
False False False False False True False False False True False True
True False False False False False False False False False False False
False True False True False False False False False False True False
False True False True False False False False False False False False
False True True False False False False False False False False False
False False False False False False False False False False False False
False False False True False False False False False False False False
False False False False False False False False False True False False
False False False False False False False False False True False False
False False False False False False False True False False False False
False False False False False False False True False False False False
False False False False False False False True False False False True
False False False False False True False False False False False False
True False True False False False False False False True False False
False False False False False False False False False True False False
False False False True False False False False True False False True
False False False True False False False False False False False False
False False False True False False False False False True False False
False False False False False False False False False False False False
False False False False False True False False False True False False
True False False False False False False True False False False False
False False False True False False False True False False False False
False False False False False False False False False False False False
False True True False False False False False False False True False
False True False False False False False False False True False True
False False False False False True False False False False False False
True False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False True True False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False True False False False False False True
False True False True False False False False False True False False
False False False False False True False False False False False False
False False False False False False False False False False False False
False False False False False False False False False True False False
False False False True False False True False False False False False
False False False True False False False False False False False False
True False False False False False False False True False False False
True False False False False False False False False False False False
False False False False False False False False False False False False
False False True False False False False False False False False False
False False False False False False False True False True False False
False False False True False True False False False False True False
False True True False False False False False False True False False
True False True False True False False False False False False True
False False False False True False False False False False True False
False False False False False False False False True False False False
False True False True False False False False False False False False
False True False False False True False False False True False False
False False False False False False False True True False False False
False True True False False False False False False False False False
False False True False False False False False False False False False
False False False False False False False False False False False False
True False False False False False False False True False False False
False False False False False True False False False False False False
False False False False False True False False False False True True
False True False False False True False False False False True False
False False False False False False False False False False False False
False False False False False True False False False True False False
False False False False False True False False False True False False
False False True False False False False False False False True False
False True False False False False False True False False False False
True False True False True False False False False False False False
False False False False False False False False False False False False
False False False False False True False False False False True False
False False False False False False True False False True False False
False True False False False False False False False False False False
False True False False False False False False False False False False
False False False False False False False False False True False False
False False False False False False False True False False False False
True False False True False False False False True False False False
False False False False False True False False False True False False
False True False False False False False False False True False False
False False False False False True False False False True False False
False True False False False False False False False False False False
False False False False False False False False False True False False
False False False False False False False False True False False False
True False False False False False False False False False False False
True False False False False False False False False True False False
False False False False False False False False False False False False
False True False False False False False False False False False False
False False False False False False False True False True False True
False False False False False False False False False True False False
False False False True False False False False False True False False
False False False False False True False False False False False False
False False False True False False False False False False False False
False False False False False True False False False False False False
False False False False False True False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False True False
False False False False True False False False False True False False
False False False False False False False False False False False False
False True False False False False False False False True False True
False False False False False False False False False True False False
False False True False False False False False False False False False
False False False False False False False False False True False False
False True False False True False False False False True False True
False False False False False False False False True False False False
False False False True False False False True False False False True
False False False False False False False False False False False False
False False False False False True False False False True False False
False False True False False False False False False False False False
False False False True False False False False False False False True
False True False False False False False True False True False False
False False False False False False False True False False True False
False True False False False True False False False False True False
False False True False False False False False False False False False
False False True False False False False False False False False False
True False False False False False False False False False False False
False True False True False True False False False True False False
False False False False False False False False False False False False
False False True False False True False False False True False False
False False False False False False False False False False False False
False False False False False False False False True False False False
False False False False True False False False False True False False
False True False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False True False False False True
True False False False True False False False False True False False
False False False True False False False False False False False True
False True False False False False False False False False False False
False False False False False True False False False False True True
False False False False False True False False False True False False
False True False False False False False False False False False False
False True False True False True False False False True False False
False False True False False False False False False False False False
False False True False False False False False False False False False
False False False False False False False False False True False False
False False False False False False False False False False True False
False False False False False True False False False False True False
False False False False False False False False False False False False
False False False False False True False False False False True False
False False False True False False False True False False False False
False False False False False False False True False False False False
False False False False False False False True False False False False
False False False True False False False False False False True True
False False False False False True False False False False True True
False False False False False False False False False False False False
False False False False False False False False False False True False
False False True False False False False False False False False False
False False False False False True False False False False True False
False False False False False False False False False False True False
False False True False False False False False False False False False
False False True False False False False False False False False True
False False False False False False False False False False False True
False True False False False False False True False True False False
False False False False False False False False False True False False
True False False False False False False False False False False False
False False False False False False False True False False False False
False False False False True False False False False False False False
False False False False False True False False True False False False
False False False False False False False False False False False True
False False False True False True False False False False False False
False True False False False False False False False True False False
False True False True False False False False False False False False
False True False False False False False True False False False False
False False False False False False False False False False False False
False False True False False False False False False False False False
False False False True False False False False False False False False
False False False False False False False False False False False False
False False False False True False False False False False False False
False False False False False False False False False True False False
False True True False False False False False False False False False
False False False False False False False True True False False False
False False False False False False False True False True False True
False True False True False True False False False True False False
True False False False False False False False False False False False
True False False False False False False False False False False False
False False False False False False False False False False False False
False True False True False False False False False False False False
False False False False False False True False False False False False
False False False False False False False False False False False False
False False False False False False False True False False False False
False True False False False False False True True False False False
False False False False False False False True True False False False
False True False False False False False True False True False False
False False False False False False False True False True False False
False False False False False False False False False False False False
False False True False False False False False False False False False
False True False False False False False False False True False False
True False True False False False False False False False False False
False True False True False False False True False False False False
False False False False False True False False False False True False
False False False False False True False False False False True True
False False False True False True False False False True False True
False False False False False False False False False True False False
False False False False False False False True False False False False
False False False True False False False True True False False False
False False False False True False False False False True False True
True False True False False False False False False False False False
True False False False False False False False False False False False
False False False False False False False False False True False True
False False False True False False False False False False False False
False True False False False False False True True False False False
True False False False False False False True True False False False
False False False False False False False False True False False False
False False False True False False False True False False True False
False False True False False False False False False False False False
True False False False False False False True False False False False
True False False False False False False False False False False False
False False True False False False False False False False False False
False True False True False False False False True False False True
False False False False False False False True False False True False
False False False False True False False False False False False False
False False False False False False False False False False False False
False True False False False False False False False False True False
False True True False False False False False True False False False
False True True False False False False False False False False False
False False False True False False False False False False False True
False False True False False False False False False True False True
False False False False False False False True False False False False
False True False False False False False False False False False False
False True True False False True False False False False False True
False False True False False False False False True False False True
False True False False False False False False False False False False
False True False True False False False False False True False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False True False False False False False True False
False True True False False False False False False False False False
False False True False False False False False False False False False
False True False True False True False False False False True True
False False False False False True False False True False False False
False False False False False False False True False False False False
False False False False True False False False False True False True
False True False True False True False False True False False False
False True False True False False False False False False False False
False False False False False True False False False False True False
False False True False False False False False True False False False
False False False False False False False False False True False False
False False True False False False False True False False True False
False True True False True False False False False True False False
False True False False False False False False False False False False
False False False False False True False False False False False False
False False False False False True False False False True False False
False False False True False False False False True False False False
False True False True False True False False False True False False
False False False False False True False False False False True True
False False False True True False False False False False False False
False False False False False False False False False False False True
False False False False False False False True False False False False
False True False True False False False False False False True False
False False False False False False False False False False False False
False False False False False False False False False False False False
False True False True False False False True False False True True
False False False False False False False False False True False False
False False True False False False False False False False False False
False False False False True False False False False True False True
False False False False False True False False False False True True
False False False False False True False False False False True True
False False False False False False False True False False False False
True False True False True False False False False False False False
False True True False False False False False False False False False
False False False False False True False False False False True True
False False False False False False False True False True False False
False True True False False False False False False False False False
False True False False False False False False False False False False
False False True False False False False False False False False False
False True True False False False False False False False False False
True False False True False False False True False False False False
False False False False False False False False False False False False
False False False False False True False False False False False False
False False False True False False False False False False False False
False False False False False True False False False True False False
False False True False False False False False False True False False
True False True False False False False False False False False False
False False False False False True False False False True False True
False False False False False True False False False False True False
False False False False False True False False False True False False
False False False True False False False False False True False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False False False False
False False False False False False False False False True False True
False False False False False False False False False False False False
True False False False False False False False False False False False
True False True False False False False False False False False False
False False False False False False False False False False False False
False True False False False False False True False False False False
False False False False False False False False False False False False
False True True False False False False False False False False False
False False False False False True False False False False True False
False False False False False True False False False False False False
False False False False False False False False False False False True
False False False False False False False False False False True True
False False False False False False False False False False False False
False True False False False False False False False False False False
False False False False False False False False False False False False
False True False False False False False True False False False True
False False False False False False False True True False False False
False False False False False False False False False False False True
False False True False False False False False False False False False
False False False False True False False False False False False False
False False False False False False False False False False False False
False False False False False True False False True False False False
